WARNING: ./fetch_pc.v:23: $readmemb(data.txt): Not enough words in the file for the requested range [0:255].
clk = 0, f_pc =                    0, f_icode =  3, f_ifun =  0, f_rA = 14, f_rB =  3, D_icode =  x, D_ifun =  x, D_rA =  x, D_rB =  x, D_valP =                    x, d_icode =  x, d_ifun =  x, d_valA =                    x, d_valB =                    x, d_valC =                    x, d_srcA =  x, d_srcB =  x, d_dstM =  x, d_dstE =  x, E_icode =  x, E_ifun =  x, E_valA =                    x, E_valB =                    x, E_valC =                    x, E_srcA =  x, E_srcB =  x, E_dstM =  x, E_dstE =  x, e_valE =                    0 , reg[0] =                    x, reg[1] =                    x, reg[2] =                    x, reg[3] =                    x, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
clk = 1, f_pc =                   10, f_icode =  3, f_ifun =  0, f_rA = 14, f_rB =  3, D_icode =  3, D_ifun =  0, D_rA = 14, D_rB =  3, D_valP =                   10, d_icode =  3, d_ifun =  0, d_valA =                    0, d_valB =                    x, d_valC =                  256, d_srcA = 15, d_srcB =  3, d_dstM = 15, d_dstE =  3, E_icode =  x, E_ifun =  x, E_valA =                    x, E_valB =                    x, E_valC =                    x, E_srcA =  x, E_srcB =  x, E_dstM =  x, E_dstE =  x, e_valE =                    0 , reg[0] =                    x, reg[1] =                    x, reg[2] =                    x, reg[3] =                    x, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
clk = 0, f_pc =                   10, f_icode =  3, f_ifun =  0, f_rA = 15, f_rB =  2, D_icode =  3, D_ifun =  0, D_rA = 14, D_rB =  3, D_valP =                   10, d_icode =  3, d_ifun =  0, d_valA =                    0, d_valB =                    x, d_valC =                  256, d_srcA = 15, d_srcB =  3, d_dstM = 15, d_dstE =  3, E_icode =  x, E_ifun =  x, E_valA =                    x, E_valB =                    x, E_valC =                    x, E_srcA =  x, E_srcB =  x, E_dstM =  x, E_dstE =  x, e_valE =                    0 , reg[0] =                    x, reg[1] =                    x, reg[2] =                    x, reg[3] =                    x, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
clk = 1, f_pc =                   20, f_icode =  3, f_ifun =  0, f_rA = 15, f_rB =  2, D_icode =  3, D_ifun =  0, D_rA = 15, D_rB =  2, D_valP =                   20, d_icode =  3, d_ifun =  0, d_valA =                    0, d_valB =                    x, d_valC =                  512, d_srcA = 15, d_srcB =  2, d_dstM = 15, d_dstE =  2, E_icode =  3, E_ifun =  0, E_valA =                    0, E_valB =                    x, E_valC =                  256, E_srcA = 15, E_srcB =  3, E_dstM = 15, E_dstE =  3, e_valE =                  256 , reg[0] =                    x, reg[1] =                    x, reg[2] =                    x, reg[3] =                    x, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
clk = 0, f_pc =                   20, f_icode =  6, f_ifun =  0, f_rA =  2, f_rB =  3, D_icode =  3, D_ifun =  0, D_rA = 15, D_rB =  2, D_valP =                   20, d_icode =  3, d_ifun =  0, d_valA =                    0, d_valB =                    x, d_valC =                  512, d_srcA = 15, d_srcB =  2, d_dstM = 15, d_dstE =  2, E_icode =  3, E_ifun =  0, E_valA =                    0, E_valB =                    x, E_valC =                  256, E_srcA = 15, E_srcB =  3, E_dstM = 15, E_dstE =  3, e_valE =                  256 , reg[0] =                    x, reg[1] =                    x, reg[2] =                    x, reg[3] =                    x, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
clk = 1, f_pc =                   22, f_icode =  6, f_ifun =  0, f_rA =  2, f_rB =  3, D_icode =  6, D_ifun =  0, D_rA =  2, D_rB =  3, D_valP =                   22, d_icode =  6, d_ifun =  0, d_valA =                  512, d_valB =                  256, d_valC =                  512, d_srcA =  2, d_srcB =  3, d_dstM = 15, d_dstE =  3, E_icode =  3, E_ifun =  0, E_valA =                    0, E_valB =                    x, E_valC =                  512, E_srcA = 15, E_srcB =  2, E_dstM = 15, E_dstE =  2, e_valE =                  512 , reg[0] =                    x, reg[1] =                    x, reg[2] =                    x, reg[3] =                    x, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
clk = 0, f_pc =                   22, f_icode =  2, f_ifun =  5, f_rA =  3, f_rB =  2, D_icode =  6, D_ifun =  0, D_rA =  2, D_rB =  3, D_valP =                   22, d_icode =  6, d_ifun =  0, d_valA =                  512, d_valB =                  256, d_valC =                  512, d_srcA =  2, d_srcB =  3, d_dstM = 15, d_dstE =  3, E_icode =  3, E_ifun =  0, E_valA =                    0, E_valB =                    x, E_valC =                  512, E_srcA = 15, E_srcB =  2, E_dstM = 15, E_dstE =  2, e_valE =                  512 , reg[0] =                    x, reg[1] =                    x, reg[2] =                    x, reg[3] =                    x, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
clk = 1, f_pc =                   24, f_icode =  2, f_ifun =  5, f_rA =  3, f_rB =  2, D_icode =  2, D_ifun =  5, D_rA =  3, D_rB =  2, D_valP =                   24, d_icode =  2, d_ifun =  5, d_valA =                  768, d_valB =                  512, d_valC =                  512, d_srcA =  3, d_srcB =  2, d_dstM = 15, d_dstE =  2, E_icode =  6, E_ifun =  0, E_valA =                  512, E_valB =                  256, E_valC =                  512, E_srcA =  2, E_srcB =  3, E_dstM = 15, E_dstE =  3, e_valE =                  768 , reg[0] =                    x, reg[1] =                    x, reg[2] =                    x, reg[3] =                    x, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
clk = 0, f_pc =                   24, f_icode =  3, f_ifun =  0, f_rA = 15, f_rB =  3, D_icode =  2, D_ifun =  5, D_rA =  3, D_rB =  2, D_valP =                   24, d_icode =  2, d_ifun =  5, d_valA =                  768, d_valB =                  512, d_valC =                  512, d_srcA =  3, d_srcB =  2, d_dstM = 15, d_dstE =  2, E_icode =  6, E_ifun =  0, E_valA =                  512, E_valB =                  256, E_valC =                  512, E_srcA =  2, E_srcB =  3, E_dstM = 15, E_dstE =  3, e_valE =                  768 , reg[0] =                    x, reg[1] =                    x, reg[2] =                    x, reg[3] =                    x, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
clk = 1, f_pc =                   34, f_icode =  3, f_ifun =  0, f_rA = 15, f_rB =  3, D_icode =  3, D_ifun =  0, D_rA = 15, D_rB =  3, D_valP =                   34, d_icode =  3, d_ifun =  0, d_valA =                    0, d_valB =                  768, d_valC =                  256, d_srcA = 15, d_srcB =  3, d_dstM = 15, d_dstE =  3, E_icode =  2, E_ifun =  5, E_valA =                  768, E_valB =                  512, E_valC =                  512, E_srcA =  3, E_srcB =  2, E_dstM = 15, E_dstE =  2, e_valE =                 1280 , reg[0] =                    x, reg[1] =                    x, reg[2] =                    x, reg[3] =                  256, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
clk = 0, f_pc =                   34, f_icode =  2, f_ifun =  1, f_rA =  2, f_rB =  3, D_icode =  3, D_ifun =  0, D_rA = 15, D_rB =  3, D_valP =                   34, d_icode =  3, d_ifun =  0, d_valA =                    0, d_valB =                  768, d_valC =                  256, d_srcA = 15, d_srcB =  3, d_dstM = 15, d_dstE =  3, E_icode =  2, E_ifun =  5, E_valA =                  768, E_valB =                  512, E_valC =                  512, E_srcA =  3, E_srcB =  2, E_dstM = 15, E_dstE =  2, e_valE =                 1280 , reg[0] =                    x, reg[1] =                    x, reg[2] =                    x, reg[3] =                  256, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
